Id,Prediction
17000,1
17001,1
17002,1
17003,1
17004,1
17005,0
17006,0
17007,0
17008,1
17009,1
17010,1
17011,0
17012,1
17013,1
17014,0
17015,1
17016,0
17017,0
17018,0
17019,0
17020,0
17021,1
17022,0
17023,1
17024,0
17025,0
17026,0
17027,0
17028,0
17029,0
17030,0
17031,1
17032,0
17033,0
17034,1
17035,1
17036,1
17037,0
17038,0
17039,0
17040,0
17041,1
17042,0
17043,0
17044,1
17045,0
17046,1
17047,0
17048,1
17049,0
17050,1
17051,0
17052,0
17053,1
17054,1
17055,0
17056,1
17057,0
17058,1
17059,0
17060,1
17061,0
17062,0
17063,0
17064,1
17065,0
17066,1
17067,1
17068,0
17069,1
17070,1
17071,0
17072,1
17073,1
17074,0
17075,0
17076,1
17077,0
17078,0
17079,0
17080,0
17081,0
17082,1
17083,0
17084,0
17085,1
17086,0
17087,0
17088,1
17089,0
17090,0
17091,1
17092,1
17093,0
17094,1
17095,0
17096,0
17097,0
17098,0
17099,0
17100,0
17101,1
17102,0
17103,0
17104,1
17105,0
17106,1
17107,0
17108,0
17109,0
17110,1
17111,1
17112,0
17113,1
17114,0
17115,1
17116,0
17117,1
17118,1
17119,0
17120,0
17121,0
17122,1
17123,1
17124,0
17125,1
17126,1
17127,1
17128,0
17129,1
17130,0
17131,0
17132,0
17133,0
17134,0
17135,1
17136,0
17137,0
17138,0
17139,1
17140,1
17141,0
17142,0
17143,0
17144,0
17145,0
17146,1
17147,1
17148,0
17149,0
17150,0
17151,0
17152,0
17153,1
17154,0
17155,0
17156,1
17157,0
17158,0
17159,0
17160,1
17161,0
17162,0
17163,1
17164,0
17165,0
17166,0
17167,0
17168,0
17169,0
17170,1
17171,1
17172,0
17173,0
17174,0
17175,0
17176,0
17177,0
17178,0
17179,0
17180,1
17181,0
17182,1
17183,1
17184,0
17185,0
17186,1
17187,0
17188,0
17189,0
17190,0
17191,0
17192,0
17193,1
17194,0
17195,1
17196,1
17197,0
17198,0
17199,0
17200,0
17201,0
17202,1
17203,1
17204,1
17205,1
17206,0
17207,1
17208,0
17209,1
17210,0
17211,0
17212,1
17213,1
17214,1
17215,0
17216,0
17217,0
17218,1
17219,1
17220,1
17221,0
17222,0
17223,0
17224,0
17225,1
17226,1
17227,1
17228,0
17229,0
17230,1
17231,1
17232,0
17233,0
17234,0
17235,1
17236,1
17237,1
17238,1
17239,0
17240,0
17241,1
17242,1
17243,0
17244,0
17245,0
17246,1
17247,0
17248,0
17249,0
17250,0
17251,0
17252,0
17253,1
17254,1
17255,0
17256,1
17257,1
17258,0
17259,0
17260,0
17261,0
17262,0
17263,0
17264,0
17265,0
17266,1
17267,1
17268,1
17269,1
17270,1
17271,1
17272,1
17273,0
17274,0
17275,0
17276,0
17277,0
17278,1
17279,0
17280,0
17281,0
17282,1
17283,0
17284,1
17285,0
17286,0
17287,1
17288,1
17289,1
17290,0
17291,0
17292,0
17293,0
17294,0
17295,0
17296,0
17297,1
17298,1
17299,1
17300,1
17301,0
17302,0
17303,0
17304,0
17305,0
17306,0
17307,1
17308,0
17309,0
17310,1
17311,1
17312,0
17313,1
17314,1
17315,1
17316,1
17317,1
17318,1
17319,0
17320,0
17321,1
17322,1
17323,1
17324,0
17325,1
17326,0
17327,0
17328,0
17329,1
17330,0
17331,0
17332,1
17333,1
17334,0
17335,1
17336,0
17337,0
17338,0
17339,0
17340,0
17341,0
17342,1
17343,0
17344,1
17345,0
17346,0
17347,0
17348,0
17349,1
17350,1
17351,0
17352,0
17353,1
17354,1
17355,0
17356,0
17357,1
17358,0
17359,1
17360,1
17361,1
17362,1
17363,1
17364,1
17365,1
17366,0
17367,1
17368,1
17369,0
17370,0
17371,1
17372,0
17373,1
17374,0
17375,1
17376,0
17377,0
17378,0
17379,1
17380,0
17381,1
17382,1
17383,0
17384,1
17385,0
17386,0
17387,0
17388,1
17389,1
17390,0
17391,0
17392,1
17393,0
17394,1
17395,1
17396,1
17397,0
17398,0
17399,1
17400,0
17401,0
17402,1
17403,1
17404,1
17405,1
17406,1
17407,0
17408,0
17409,0
17410,0
17411,0
17412,0
17413,1
17414,0
17415,0
17416,0
17417,0
17418,0
17419,1
17420,0
17421,1
17422,0
17423,0
17424,1
17425,0
17426,0
17427,0
17428,1
17429,0
17430,0
17431,0
17432,1
17433,0
17434,1
17435,1
17436,0
17437,0
17438,0
17439,0
17440,0
17441,0
17442,0
17443,1
17444,0
17445,0
17446,0
17447,0
17448,0
17449,1
17450,0
17451,1
17452,1
17453,1
17454,1
17455,1
17456,1
17457,1
17458,1
17459,1
17460,0
17461,0
17462,0
17463,0
17464,1
17465,1
17466,1
17467,1
17468,0
17469,1
17470,0
17471,1
17472,1
17473,1
17474,0
17475,1
17476,0
17477,0
17478,1
17479,0
17480,0
17481,0
17482,1
17483,0
17484,1
17485,0
17486,0
17487,0
17488,0
17489,0
17490,1
17491,0
17492,1
17493,1
17494,1
17495,0
17496,1
17497,0
17498,1
17499,1
17500,1
17501,0
17502,1
17503,0
17504,1
17505,1
17506,0
17507,0
17508,0
17509,0
17510,1
17511,1
17512,1
17513,0
17514,1
17515,0
17516,0
17517,0
17518,0
17519,1
17520,1
17521,0
17522,1
17523,1
17524,1
17525,0
17526,1
17527,0
17528,0
17529,0
17530,1
17531,1
17532,1
17533,1
17534,1
17535,0
17536,0
17537,1
17538,1
17539,0
17540,1
17541,1
17542,1
17543,0
17544,1
17545,0
17546,0
17547,0
17548,0
17549,0
17550,1
17551,1
17552,0
17553,0
17554,0
17555,0
17556,0
17557,1
17558,1
17559,0
17560,0
17561,1
17562,1
17563,0
17564,1
17565,0
17566,1
17567,1
17568,1
17569,0
17570,0
17571,1
17572,1
17573,0
17574,1
17575,0
17576,0
17577,1
17578,0
17579,0
17580,0
17581,1
17582,1
17583,0
17584,0
17585,1
17586,1
17587,0
17588,1
17589,1
17590,1
17591,1
17592,1
17593,1
18000,0
18001,0
18002,0
18003,0
18004,0
18005,0
18006,0
18007,1
18008,1
18009,1
18010,0
18011,0
18012,0
18013,0
18014,1
18015,0
18016,1
18017,0
18018,1
18019,1
18020,0
18021,0
18022,1
18023,1
18024,1
18025,1
18026,0
18027,1
18028,0
18029,0
18030,0
18031,1
18032,1
18033,0
18034,0
18035,1
18036,0
18037,0
18038,0
18039,0
18040,0
18041,0
18042,1
18043,0
18044,1
18045,0
18046,1
18047,0
18048,0
18049,0
18050,1
18051,1
18052,1
18053,1
18054,1
18055,1
18056,0
18057,1
18058,0
18059,1
18060,1
18061,0
18062,0
18063,0
18064,1
18065,1
18066,1
18067,0
18068,0
18069,1
18070,0
18071,1
18072,0
18073,1
18074,1
18075,1
18076,0
18077,0
18078,0
18079,0
18080,1
18081,0
18082,0
18083,0
18084,0
18085,0
18086,0
18087,0
18088,0
18089,1
18090,1
18091,1
18092,0
18093,0
18094,1
18095,0
18096,0
18097,0
18098,1
18099,1
18100,1
18101,0
18102,1
18103,0
18104,0
18105,1
18106,0
18107,1
18108,0
18109,0
18110,0
18111,1
18112,0
18113,0
18114,0
18115,1
18116,1
18117,0
18118,0
18119,0
18120,0
18121,0
18122,0
18123,0
18124,1
18125,0
18126,1
18127,0
18128,1
18129,0
18130,0
18131,1
18132,0
18133,0
18134,0
18135,0
18136,1
18137,1
18138,0
18139,1
18140,1
18141,1
18142,0
18143,1
18144,0
18145,1
18146,1
18147,0
18148,0
18149,1
18150,1
18151,1
18152,0
18153,0
18154,0
18155,1
18156,0
18157,0
18158,1
18159,0
18160,0
18161,0
18162,0
18163,1
18164,0
18165,0
18166,0
18167,1
18168,0
18169,1
18170,0
18171,0
18172,1
18173,0
18174,0
18175,0
18176,0
18177,0
18178,1
18179,0
18180,1
18181,0
18182,0
18183,1
18184,0
18185,0
18186,0
18187,0
18188,0
18189,1
18190,0
18191,1
18192,1
18193,0
18194,1
18195,0
18196,1
18197,1
18198,1
18199,0
18200,0
18201,1
18202,1
18203,0
18204,0
18205,0
18206,0
18207,0
18208,0
18209,0
18210,0
18211,0
18212,0
18213,0
18214,0
18215,0
18216,0
18217,0
18218,0
18219,1
18220,1
18221,1
18222,0
18223,1
18224,1
18225,0
18226,0
18227,1
18228,1
18229,1
18230,0
18231,1
18232,1
18233,1
18234,1
18235,0
18236,0
18237,0
18238,0
18239,1
18240,0
18241,0
18242,1
18243,0
18244,1
18245,0
18246,0
18247,1
18248,1
18249,0
18250,0
18251,1
18252,1
18253,0
18254,0
18255,1
18256,1
18257,1
18258,0
18259,1
18260,1
18261,1
18262,0
18263,0
18264,1
18265,0
18266,1
18267,0
18268,1
18269,1
18270,0
18271,1
18272,0
18273,1
18274,1
18275,0
18276,0
18277,0
18278,0
18279,0
18280,0
18281,0
18282,0
18283,0
18284,1
18285,0
18286,0
18287,1
18288,0
18289,1
18290,0
18291,1
18292,1
18293,0
18294,1
18295,1
18296,1
18297,1
18298,1
18299,0
18300,0
18301,0
18302,0
18303,1
18304,0
18305,1
18306,0
18307,0
18308,1
18309,0
18310,1
18311,1
18312,0
18313,1
18314,1
18315,1
18316,0
18317,1
18318,0
18319,1
18320,0
18321,0
18322,1
18323,0
18324,1
18325,0
18326,1
18327,1
18328,0
18329,0
18330,1
18331,1
18332,1
18333,0
18334,0
18335,1
18336,0
18337,0
18338,1
18339,1
18340,1
18341,1
18342,1
18343,1
18344,0
18345,0
18346,1
18347,0
18348,1
18349,0
18350,1
18351,1
18352,1
18353,0
18354,1
18355,0
18356,0
18357,1
18358,0
18359,0
18360,0
18361,1
18362,0
18363,1
18364,0
18365,1
18366,0
18367,0
18368,1
18369,0
18370,0
18371,0
18372,0
18373,1
18374,0
18375,1
18376,0
18377,1
18378,0
18379,0
18380,0
18381,0
18382,0
18383,1
18384,0
18385,0
18386,0
18387,1
18388,0
18389,0
18390,1
18391,1
18392,0
18393,1
18394,1
18395,0
18396,0
18397,0
18398,0
18399,1
18400,0
18401,1
18402,1
18403,0
18404,1
18405,1
18406,0
18407,0
18408,1
18409,1
18410,0
18411,0
18412,0
18413,0
18414,1
18415,0
18416,0
18417,1
18418,0
18419,1
18420,1
18421,1
18422,1
18423,1
18424,0
18425,1
18426,0
18427,0
18428,1
18429,1
18430,0
18431,0
18432,1
18433,1
18434,0
18435,1
18436,1
18437,0
18438,0
18439,0
18440,0
18441,0
18442,0
18443,0
18444,0
18445,0
18446,0
18447,1
18448,0
18449,0
18450,1
18451,0
18452,0
18453,0
18454,1
18455,0
18456,0
18457,0
18458,0
18459,0
18460,1
18461,1
18462,1
18463,0
18464,1
18465,0
18466,1
18467,0
18468,0
18469,0
18470,1
18471,0
18472,0
18473,1
18474,1
18475,1
18476,0
18477,1
18478,0
18479,0
18480,1
18481,1
18482,0
18483,0
18484,0
18485,0
18486,1
18487,1
18488,1
18489,0
18490,0
18491,0
18492,1
18493,0
18494,1
18495,0
18496,0
18497,0
18498,1
18499,1
18500,0
18501,0
18502,0
18503,0
18504,1
18505,0
18506,1
18507,1
18508,1
18509,0
18510,1
18511,1
18512,1
18513,0
18514,1
18515,1
18516,1
18517,0
18518,0
18519,0
18520,1
18521,0
18522,1
18523,0
18524,0
18525,0
18526,1
18527,0
18528,1
18529,1
18530,0
18531,1
18532,1
18533,0
18534,1
18535,0
18536,1
18537,1
18538,0
18539,0
18540,1
18541,1
18542,1
18543,1
18544,0
18545,0
18546,0
18547,0
18548,1
18549,1
18550,1
18551,0
18552,1
18553,0
18554,0
18555,0
18556,0
18557,0
18558,0
18559,0
18560,0
18561,0
18562,0
18563,1
18564,0
18565,1
18566,0
18567,1
18568,0
18569,0
